table of content,table of content-href,requirements quests,levels,other,"items required	"
Fairytale I - Growing Pains,https://oldschool.runescape.wiki/w/Fairytale_I_-_Growing_Pains,"Lost City
Nature Spirit",,"The ability to defeat a level 111 Tanglefoot with limited weaponry
Ironmen who do not have the necessary Herblore level to clean possible herbs required to bless the secateurs will need to visit the herblore shop in Nardah to clean the grimy herbs.","Secateurs (obtainable in the farm shop north-west of the quest giver for 5 gp)
The Draynor skull (obtained during quest)
A spade (obtainable multiple times during quest)
A ghostspeak amulet
A Dramen or Lunar staff
A combination of three items picked for you at random  see list of potential items below."
The Slug Menace,https://oldschool.runescape.wiki/w/The_Slug_Menace,"Wanted!
Sea Slug","30 Crafting
30 Runecraft (not boostable)
30 Slayer (not boostable)
30 Thieving (not boostable)","The ability to defeat a level 62 enemy with Melee.
Note you must have the Commorb in your inventory to start the quest.","Commorb (can get another by speaking to Sir Tiffy)
Swamp paste
At least 5 rune/pure essence (bring 10-30 to be safe)
Chisel
One of each: Water  Earth  Fire  Air  (or an Elemental talisman) and Mind talisman/tiara (all talismans or tiaras) OR access to the Abyss.
Recommended

3 Ardougne teleports for easy access to Witchaven
2 Falador teleports to reach Tiffy
Fully charged Amulet of glory if using the Abyss method
It is also recommended to take a charged Abyssal bracelet if going through the abyss
Energy potions
Teleports to Lumbridge  Varrock  Falador and Ardougne  as well as a ring of dueling would be useful if you plan to access altars without the use of the Abyss.
Necklace of passage  for a teleport directly to Jorral's Outpost."
Doric's Quest,https://oldschool.runescape.wiki/w/Doric%27s_Quest,null,,,"All items must not be noted.

6 clay (not soft clay!)
4 copper ores
2 iron ores
A pickaxe if you wish to mine the ores yourself (obtainable during the quest; Doric gives you a bronze pickaxe)"
Jungle Potion,https://oldschool.runescape.wiki/w/Jungle_Potion,Druidic Ritual,3 Herblore,The ability to defend against level 53 Jogres and level 46 Harpie Bug Swarms.,None
Creature of Fenkenstrain,https://oldschool.runescape.wiki/w/Creature_of_Fenkenstrain,"Priest in Peril
The Restless Ghost","20 Crafting
25 Thieving",Able to defeat a level 51 monster and run past level 72 monsters,"Hammer
Ghostspeak amulet
Silver bar
3 bronze wire (unnoted)
Needle
5 thread
Spade
~100 coins
Optional (unnecessary  see below) 1 law & 1 air rune"
Rag and Bone Man,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man,null,,The ability to defeat a level 27 monster.,"38 coins
8 pots
8 logs (or an axe to obtain them)
A tinderbox
A covered light source
A rope (if you haven't entered the Lumbridge Swamp Caves before)
Recommended:

A spiny helmet (unnecessary if going through the Lumbridge Castle basement  or if stopping one square before ""hole in the wall""s and running past)"
Grim Tales,https://oldschool.runescape.wiki/w/Grim_Tales,Witch's House,"45 Farming (boostable)
52 Herblore (boostable)
58 Thieving (boostable)
59 Agility (boostable)
71 Woodcutting (boostable)",Ability to defeat a level 138 cloud giant—Glod,"2 Tarromin potion (unf) or 2 vials of water and 2 tarromins
Seed dibber (leprechaun is nearby)
Watering can with at least 1 dose (can also be stored with the leprechaun)
Any axe
Leather gloves (optional  obtainable during quest)
High healing food
Good armour and a weapon
Recommended:

House teleports with POH at Taverley
Ranged or Magic equipment
Prayer potions
One-click teleports in case you are about to die"
The Fremennik Isles,https://oldschool.runescape.wiki/w/The_Fremennik_Isles,The Fremennik Trials,"20 Construction
40 Agility
56 Woodcutting
46 Crafting",The ability to kill a level 122 Troll King and 10 rock throwing ice trolls in a multicombat area.,"Either a Fremennik shield (The Fremennik Isles) or:
Bronze nails (if making your own shield)
A hammer (if making your own shield)
Either Yak-hide armour top and legs or:
A needle (if making your own yak armour)
Thread (if making your own yak armour)
A raw tuna
8 tin ores  7 pieces of coal  or 6 mithril ores (depends on your Mining level; levels 1-9 will require tin ore  10-54 will require coal  and 55-99 require mithril ore)
Note: The ores can be noted.
9 ropes
An axe (if splitting your own logs and/or making your own shield)
8 arctic pine logs or 8 split logs and 2 arctic pine logs (obtainable during quest)
For those without 56 Woodcutting  bring 8 split logs and a Fremennik shield (The Fremennik Isles)
A knife
Good combat equipment to kill 10 low-Defence  high-Attack monsters  and one level 122
Recommended:

A Catspeak amulet for amusing dialogue during the initial conversation with Jatizso's king
Food/armour at all times (in case you get attacked by trolls on the northern island)
Prayer potions - as there is no altar close by
A melee weapon - as the Ice Troll King has very high Ranged Defence"
The Grand Tree,https://oldschool.runescape.wiki/w/The_Grand_Tree,null,25 Agility,The ability to defeat a level 172 Black demon (safespottable for Ranged and Magic or melee using a halberd).,"1 000 Coins  unless you have helped Femi or completed Tree Gnome Village and plan to use spirit trees.
Recommended:

Items/runes to reach Hazelmere (east of Yanille) and back to the Tree Gnome Stronghold. The Nightmare Zone minigame teleport can also be used to reach Hazelmere. Rope to swing across from tree. (Requires 25 agility).
Necklace of passage for teleporting to Tree Gnome Stronghold (via The Outpost)."
Horror from the Deep,https://oldschool.runescape.wiki/w/Horror_from_the_Deep,"
Alfred Grimhand's Barcrawl",35 Agility (boostable),"Recommended:
40 Prayer Prayer for Protect from Missiles against the Dagannoth Mother's Ranged attacks","1 fire rune
1 water rune
1 earth rune
1 air rune
1 sword of any type that you are willing to lose (rusty sword does not work  nor the prop sword  although a Wilderness sword will)
1 arrow of any type (except ogre and training arrows) you are willing to lose.
Molten glass
A tinderbox
A hammer
60 steel nails (specifically steel  others will not work)
2 planks (can be obtained from Barbarian Outpost)
1 swamp tar
Recommended:

Armour  food  enough runes to cast several of each elemental spell (wind  water  earth  and fire)  a good weapon for Melee  and some Ranged equipment
Camelot teleport or Games necklace for teleportation to the Barbarian Outpost (if you need to bank before the fight)
Summer Pie (if boosting from 30 Agility)"
Imp Catcher,https://oldschool.runescape.wiki/w/Imp_Catcher,null,,,"A black bead
A yellow bead
A red bead
A white bead"
Roving Elves,https://oldschool.runescape.wiki/w/Roving_Elves,"Regicide
Waterfall Quest",56 Agility (can be boosted),"The ability to defeat a level 84 enemy without runes  weapons  or armour
There is no agility requirement if using charter ships to reach Islwyn and Eluned  see below
Recommended: Finish Sheep herder before the last step so you can start Mourning's Ends Part I right away and get the teleportation crystal","Glarial's pebble (can be obtained during the quest)
A key (can be obtained during the quest)
A spade
A rope
Recommended:

Antipoison
Food
Prayer potions
(Super) attack  strength & defence potions or super combat potions
A games necklace (optional)
Ardougne Teleports (optional)
Camelot Teleports (optional)
Elf camp teleports (optional)
Coins (only if using charter ships - 3 200 coins covers a single trip)
A ring of charos (a) if you want to save money using charters (decreases the price of the trip from 3 200 coins to 1 600) - reduced an additional 50% if you've completed Cabin Fever.
A ring of recoil is helpful when fighting the moss giant
Any axe and a tinderbox (to chop down trees and cook rabbits)"
The Hand in the Sand,https://oldschool.runescape.wiki/w/The_Hand_in_the_Sand,null,"17 Thieving
49 Crafting (not boostable)",,"A regular beer (obtainable during quest for 2 gp)
About 150 coins
2 empty vials
Redberries
White berries
A lantern lens
5 Earth runes (can be bought from Betty for 20 gp)
A bucket of sand (obtainable during quest if you bring a bucket)"
The Depths of Despair,https://oldschool.runescape.wiki/w/The_Depths_of_Despair,Client of Kourend,18 Agility,20% Hosidius favour,None
Lunar Diplomacy,https://oldschool.runescape.wiki/w/Lunar_Diplomacy,"The Fremennik Trials
Lost City
Rune Mysteries
Shilo Village","61 Crafting
40 Defence
49 Firemaking
65 Magic
60 Mining
55 Woodcutting","The ability to kill multiple level 111 monsters
The ability to access the Air  Earth  Fire and Water runecrafting altars","A tinderbox
A few coins (1 000 should easily be enough.)
A guam leaf
A marrentill
A pestle and mortar
A hammer
Two spools of thread (obtainable during quest)
A needle (obtainable during quest)
Any axe (bronze axe obtainable during quest)
Any pickaxe
A spade
Swamp tar (obtainable during quest)
All elemental talismans or their respective tiaras (Air  Water  Earth and Fire  or an Elemental talisman)  or access to the Abyss
A dramen staff
Combat equipment
Recommended:

Teleport to House runes/tablet (if POH is in Rimmington) or other means to get to Rimmington
Enchanted lyre  Fremennik sea boots  or other means to return to Rellekka
Runes for the final boss fight as Lunar equipment must be worn
Bullseye lantern  which you can extinguish—use the emerald lens on it to get an emerald lantern  then light again saving a trip to Rimmington."
Fairytale II - Cure a Queen,https://oldschool.runescape.wiki/w/Fairytale_II_-_Cure_a_Queen,Fairytale I - Growing Pains,"40 Thieving (non-boostable)
49 Farming (boostable)
57 Herblore (boostable)",,"A Dramen or Lunar staff
A vial of water
A pestle and mortar
Recommended:

Combat equipment and good food
Restore potions (for restoring drained combat stats if really needed)
Salve graveyard teleport for easy access to fairy rings"
Song of the Elves,https://oldschool.runescape.wiki/w/Song_of_the_Elves,"Mourning's Ends Part II
Fairytale II - Cure a Queen
Making History","70 Agility
70 Construction
70 Farming
70 Herblore
70 Hunter
70 Mining
70 Smithing
70 Woodcutting",you need to wait for it to get released in 2019,
